Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
2014-2015,26,Real Madrid,es ESP,Copa del Rey,9th,3,3,239,2.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
2016-2017,28,Real Madrid,es ESP,Copa del Rey,5th,3,1,115,1.3,1,1,1,0,0,0,0,0.78,0.78,1.57,0.78,1.57,Matches
2017-2018,29,Real Madrid,es ESP,Copa del Rey,5th,1,1,90,1.0,1,0,1,0,0,0,0,1.00,0.00,1.00,1.00,1.00,Matches
2017-2018,29,Real Madrid,es ESP,Supercopa de España,1st,2,2,147,1.6,1,,1,0,0,0,0,0.61,,,0.61,,Matches
2018-2019,30,Real Madrid,es ESP,Copa del Rey,3rd,6,6,454,5.0,4,1,4,0,0,0,0,0.79,0.20,0.99,0.79,0.99,Matches
2019-2020,31,Real Madrid,es ESP,Copa del Rey,5th,3,2,182,2.0,1,1,1,0,0,0,0,0.49,0.49,0.99,0.49,0.99,Matches
2020-2021,32,Real Madrid,es ESP,Copa del Rey,17th,1,0,54,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
2020-2021,32,Real Madrid,es ESP,Supercopa de España,SF,1,1,87,1.0,1,0,1,0,0,0,0,1.03,0.00,1.03,1.03,1.03,Matches
2021-2022,33,Real Madrid,es ESP,Supercopa de España,,2,2,210,2.3,2,1,1,1,1,0,0,0.86,0.43,1.29,0.43,0.86,Matches
