Season,Age,Squad,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
2013-2014,21,RB Salzburg,2. Europa Lg,R16,9,9,712,7.9,4,3,4,0,0,1,1,0.51,0.38,0.88,0.51,0.88,,,,,,,,,,Matches
2017-2018,25,Liverpool,1. Champions Lg,F,11,11,940,10.4,10,2,10,0,0,2,0,0.96,0.19,1.15,0.96,1.15,,,,,,,,,,Matches
2018-2019,26,Liverpool,1. Champions Lg,W,13,13,1148,12.8,4,1,4,0,1,2,0,0.31,0.08,0.39,0.31,0.39,6.5,5.7,1.5,7.1,0.51,0.12,0.63,0.44,0.56,Matches
2019-2020,27,Liverpool,1. Champions Lg,R16,8,7,631,7.0,2,2,2,0,0,2,0,0.29,0.29,0.57,0.29,0.57,2.9,2.9,1.4,4.3,0.41,0.20,0.61,0.41,0.61,Matches
2019-2020,27,Liverpool,Super Cup,1st,1,1,102,1.1,2,0,2,0,0,0,0,1.76,0.00,1.76,1.76,1.76,,,,,,,,,,Matches
2020-2021,28,Liverpool,1. Champions Lg,QF,10,8,714,7.9,3,1,3,0,0,2,0,0.38,0.13,0.50,0.38,0.50,2.6,2.6,0.9,3.5,0.32,0.12,0.44,0.32,0.44,Matches
2021-2022,29,Liverpool,1. Champions Lg,2nd,13,11,818,9.1,5,1,5,0,0,2,0,0.55,0.11,0.66,0.55,0.66,4.7,4.7,1.9,6.6,0.51,0.21,0.72,0.51,0.72,Matches
