Season,Age,Squad,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
2015-2016,16,Monaco,2. Europa Lg,GR,1,0,34,0.4,0,1,0,0,0,0,0,0.00,2.65,2.65,0.00,2.65,,,,,,,,,,Matches
2016-2017,17,Monaco,1. Champions Lg,SF,9,6,536,6.0,6,0,6,0,0,0,0,1.01,0.00,1.01,1.01,1.01,,,,,,,,,,Matches
2017-2018,18,Paris S-G,1. Champions Lg,R16,8,8,658,7.3,4,3,4,0,0,1,0,0.55,0.41,0.96,0.55,0.96,,,,,,,,,,Matches
2018-2019,19,Paris S-G,1. Champions Lg,R16,8,8,699,7.8,4,5,4,0,0,1,0,0.52,0.64,1.16,0.52,1.16,5.1,5.1,3.8,8.9,0.65,0.49,1.14,0.65,1.14,Matches
2019-2020,20,Paris S-G,1. Champions Lg,F,10,6,654,7.3,5,5,5,0,0,1,0,0.69,0.69,1.38,0.69,1.38,6.9,6.9,4.1,11.0,0.95,0.56,1.51,0.95,1.51,Matches
2020-2021,21,Paris S-G,1. Champions Lg,SF,10,10,899,10.0,8,3,6,2,2,0,0,0.80,0.30,1.10,0.60,0.90,6.1,4.6,3.5,8.1,0.61,0.35,0.96,0.46,0.81,Matches
2021-2022,22,Paris S-G,1. Champions Lg,R16,8,8,671,7.5,6,4,6,0,1,1,0,0.80,0.54,1.34,0.80,1.34,5.0,4.2,2.4,6.6,0.66,0.32,0.98,0.56,0.88,Matches
