Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,Prog,Carries,Prog,Succ,Att,Match Report
2022-01-25,Tue,Africa Cup of Nations,Round of 16,Neutral,W 2–0,sn Senegal,cv Cape Verde,Y,FW,69,1,0,0,0,3,2,0,0,,,,0,,,,,,,,,,,,,,,Match Report
2022-01-30,Sun,Africa Cup of Nations,Quarter-finals,Neutral,W 3–1,sn Senegal,gq Equatorial Guinea,Y,FW,90,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,Match Report
2022-02-02,Wed,Africa Cup of Nations,Semi-finals,Neutral,W 3–1,sn Senegal,bf Burkina Faso,Y,FW,90,1,0,0,0,3,3,0,0,,,,0,,,,,,,,,,,,,,,Match Report
2022-02-06,Sun,Africa Cup of Nations,Final,Neutral,D 0 (4)–0 (2),sn Senegal,eg Egypt,Y,FW,120,0,0,0,1,1,1,1,0,,,,1,,,,,,,,,,,,,,,Match Report
2022-02-13,Sun,Premier League,Matchweek 25,Away,W 1–0,Liverpool,Burnley,Y,LW,66,0,0,0,0,3,1,0,0,34,5,0,0,0,0.4,0.4,0.1,4,0,16,23,69.6,3,25,3,2,2,Match Report
2022-02-16,Wed,Champions Lg,Round of 16,Away,W 2–0,eng Liverpool,it Inter,Y,LW,58,0,0,0,0,2,0,0,0,31,17,1,1,2,0.1,0.1,0.2,2,0,12,15,80.0,3,22,1,0,1,Match Report
2022-02-19,Sat,Premier League,Matchweek 26,Home,W 3–1,Liverpool,Norwich City,Y,FWLMLW,90,1,0,0,0,4,2,0,0,45,9,0,0,2,0.6,0.6,0.1,4,0,28,30,93.3,3,38,8,1,4,Match Report
2022-02-23,Wed,Premier League,Matchweek 19,Home,W 6–0,Liverpool,Leeds United,Y,FW,90,2,0,0,0,3,2,0,0,80,13,1,0,1,1.4,1.4,0.3,5,1,50,59,84.7,4,65,10,2,2,Match Report
2022-02-27,Sun,EFL Cup,Final,Away,D 0 (11)–0 (10),Liverpool,Chelsea,Y,FW,79,0,0,0,0,2,1,0,0,,,,0,,,,,,,,,,,,,,,Match Report
2022-03-02,Wed,FA Cup,Fifth round proper,Home,W 2–1,Liverpool,Norwich City,N,,7,0,0,0,0,0,0,0,0,,,,0,,,,,,,,,,,,,,,Match Report
2022-03-05,Sat,Premier League,Matchweek 28,Home,W 1–0,Liverpool,West Ham,Y,FWRW,90,1,0,0,0,5,1,1,0,69,12,1,1,0,1.0,1.0,0.2,3,0,42,53,79.2,7,65,16,2,3,Match Report
2022-03-08,Tue,Champions Lg,Round of 16,Home,L 0–1,eng Liverpool,it Inter,Y,LWFW,90,0,0,0,0,1,0,1,0,46,17,1,0,0,0.0,0.0,0.4,2,0,29,31,93.5,3,34,4,1,2,Match Report
2022-03-12,Sat,Premier League,Matchweek 29,Away,W 2–0,Liverpool,Brighton,Y,FWRW,90,0,0,0,0,4,3,0,0,42,27,1,0,0,0.3,0.3,0.0,2,0,23,24,95.8,6,30,2,4,4,Match Report
2022-03-16,Wed,Premier League,Matchweek 27,Away,W 2–0,Liverpool,Arsenal,Y,LWRW,90,0,0,0,0,1,0,0,0,31,20,0,0,4,0.3,0.3,0.0,0,0,11,13,84.6,1,24,2,1,2,Match Report
2022-03-25,Fri,WCQ,Third round,Away,L 0–1,sn Senegal,eg Egypt,Y,FW,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,,Match Report
