Player,Span,Nation,Pos,Squad,MP,Starts,Min,90s,Gls,Ast,GPK,PK,PKatt,CrdY,CrdR,Gls,Ast,GA,GPK,GAPK,xG,npxG,xA,npxG+xA,xG,xA,xGxA,npxG,npxGxA
Sadio Mané,2021-22,SEN,FW,Liverpool,34,32,2819,31.3,16,2,16,0,0,5,0,0.51,0.06,0.57,0.51,0.57,16.7,16.7,4.4,21.1,0.53,0.14,0.67,0.53,0.67
Karim Benzema,2021-22,FRA,FW,Real Madrid,32,31,2593,28.8,27,12,20,7,11,0,0,0.94,0.42,1.35,0.69,1.11,23.5,15.2,9.5,24.7,0.82,0.33,1.14,0.53,0.86
Kylian Mbappé,2021-22,FRA,FW,Paris S-G,35,34,3023,33.6,28,18,24,4,4,10,0,0.83,0.54,1.37,0.71,1.25,23.4,20.3,12.4,32.7,0.70,0.37,1.06,0.61,0.97
