Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
2015-2016,16,Monaco,fr FRA,1. Ligue 1,3rd,11,2,296,3.3,1,1,1,0,0,1,0,0.30,0.30,0.61,0.30,0.61,,,,,,,,,,Matches
2016-2017,17,Monaco,fr FRA,1. Ligue 1,1st,29,17,1498,16.6,15,7,15,0,0,2,0,0.90,0.42,1.32,0.90,1.32,,,,,,,,,,Matches
2017-2018,18,Monaco,fr FRA,1. Ligue 1,2nd,1,1,74,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.21,0.00,0.21,0.21,0.21,Matches
2017-2018,18,Paris S-G,fr FRA,1. Ligue 1,1st,27,24,2094,23.3,13,8,13,0,0,2,0,0.56,0.34,0.90,0.56,0.90,14.5,14.5,7.8,22.3,0.62,0.33,0.96,0.62,0.96,Matches
2018-2019,19,Paris S-G,fr FRA,1. Ligue 1,1st,29,24,2343,26.0,33,7,32,1,2,5,1,1.27,0.27,1.54,1.23,1.50,27.3,25.8,5.5,31.3,1.05,0.21,1.26,0.99,1.20,Matches
2019-2020,20,Paris S-G,fr FRA,1. Ligue 1,1st,20,17,1513,16.8,18,5,18,0,0,0,0,1.07,0.30,1.37,1.07,1.37,17.1,17.1,8.5,25.6,1.01,0.51,1.52,1.01,1.52,Matches
2020-2021,21,Paris S-G,fr FRA,1. Ligue 1,2nd,31,27,2380,26.4,27,7,21,6,6,5,0,1.02,0.26,1.29,0.79,1.06,24.6,20.1,4.6,24.7,0.93,0.17,1.11,0.76,0.93,Matches
2021-2022,22,Paris S-G,fr FRA,1. Ligue 1,1st,35,34,3023,33.6,28,18,24,4,4,10,0,0.83,0.54,1.37,0.71,1.25,23.4,20.3,12.4,32.7,0.70,0.37,1.06,0.61,0.97,Matches
