Player,Span,Nation,Pos,Squad,90s,Gls,Sh,SoT,SoTPerc,Sh90,SoT90,GSh,GSoT,Dist,FK,PK,PKatt,xG,npxG,npxGSh,GxG,npGxG
Sadio Mané,2021-22,SEN,FW,Liverpool,31.3,16,99,37,37.4,3.16,1.18,0.16,0.43,13.3,0,0,0,16.7,16.7,0.17,-0.7,-0.7
Karim Benzema,2021-22,FRA,FW,Real Madrid,28.8,27,118,47,39.8,4.10,1.63,0.17,0.43,15.5,3,7,11,23.5,15.2,0.13,+3.5,+4.8
Kylian Mbappé,2021-22,FRA,FW,Paris S-G,33.6,28,144,60,41.7,4.29,1.79,0.17,0.40,16.8,3,4,4,23.4,20.3,0.14,+4.6,+3.7
